id,prediction
7000000,0.00030483
7000001,0.000268867
7000002,0.000287507
7000003,0.00511588
7000004,0.983667
7000005,0.000290601
7000006,0.000292415
7000007,0.000271331
7000008,0.06341799999999999
7000009,0.0177535
7000010,0.000274332
7000011,0.00935973
7000012,0.000276355
7000013,0.00027305900000000003
7000014,0.000283636
7000015,0.000286252
7000016,0.0231284
7000017,0.00407891
7000018,0.0486426
7000019,0.000421215
7000020,0.000335952
7000021,0.00028188599999999996
7000022,0.000272755
7000023,0.332982
7000024,0.757035
7000025,0.00035647
7000026,0.00106371
7000027,0.000269439
7000028,0.000380129
7000029,0.000320578
7000030,0.00028015
7000031,0.000272653
7000032,0.533081
7000033,0.000267916
7000034,0.073233
7000035,0.000357823
7000036,0.113101
7000037,0.000271464
7000038,0.000280099
7000039,0.00333825
7000040,0.000330858
7000041,0.0005249
7000042,0.0163469
7000043,0.000424795
7000044,0.0064062
7000045,0.00027782
7000046,0.000428066
7000047,0.000313519
7000048,0.000272804
7000049,0.000278848
7000050,0.000279403
7000051,0.00579363
7000052,0.0211975
7000053,0.000665837
7000054,0.00611734
7000055,0.981342
7000056,0.0948961
7000057,0.125664
7000058,0.000278622
7000059,0.000340207
7000060,0.00428996
7000061,0.000290679
7000062,0.000276999
7000063,0.000331093
7000064,0.00028571099999999996
7000065,0.00511406
7000066,0.20559000000000002
7000067,0.29964
7000068,0.000299751
7000069,0.00027399200000000003
7000070,0.000308922
7000071,0.000301599
7000072,0.00257421
7000073,0.00251328
7000074,0.000405624
7000075,0.000290269
7000076,0.000311477
7000077,0.000274827
7000078,0.00283787
7000079,0.00027818
7000080,0.000267431
7000081,0.000289433
7000082,0.000285503
7000083,0.000287677
7000084,0.0303052
7000085,0.00315156
7000086,0.0030959
7000087,0.00122131
7000088,0.1202
7000089,0.000511259
7000090,0.9835719999999999
7000091,0.000275699
7000092,0.00027093
7000093,0.000267524
7000094,0.000296445
7000095,0.00031815099999999997
7000096,0.00029245599999999997
7000097,0.000270624
7000098,0.33328800000000003
7000099,0.00028526
7000100,0.000276632
7000101,0.000328867
7000102,0.00646844
7000103,0.00521309
7000104,0.000455131
7000105,0.000286573
7000106,0.00323265
7000107,0.000272715
7000108,0.0161454
7000109,0.000305077
7000110,0.0003053
7000111,0.00027016
7000112,0.000286522
7000113,0.11014000000000002
7000114,0.000282065
7000115,0.00133371
7000116,0.0017317
7000117,0.000296886
7000118,0.000548058
7000119,0.000316747
7000120,0.000386994
7000121,0.0194054
7000122,0.00811237
7000123,0.000603516
7000124,0.00318225
7000125,0.0125161
7000126,0.000272715
7000127,0.000837904
7000128,0.00187466
7000129,0.118577
7000130,0.00027617900000000004
7000131,0.00026701299999999997
7000132,0.00252317
7000133,0.000429114
7000134,0.000351674
7000135,0.00045804699999999995
7000136,0.00150089
7000137,0.000372206
7000138,0.000265095
7000139,0.345879
7000140,0.000268665
7000141,0.000275273
7000142,0.000288637
7000143,0.035488099999999995
7000144,0.000280131
7000145,0.000276317
7000146,0.00027583400000000003
7000147,0.000319242
7000148,0.000349
7000149,0.00028395
7000150,0.000286197
7000151,0.000376598
7000152,0.000483927
7000153,0.000269976
7000154,0.000546547
7000155,0.000269584
7000156,0.000276743
7000157,0.000302083
7000158,0.000276912
7000159,0.00042809900000000004
7000160,0.000267647
7000161,0.00033078
7000162,0.000307359
7000163,0.000325332
7000164,0.000277301
7000165,0.000346205
7000166,0.00509184
7000167,0.00175404
7000168,0.00047768699999999997
7000169,0.000362586
7000170,0.00470016
7000171,0.017882
7000172,0.0140296
7000173,0.000272396
7000174,0.000302932
7000175,0.00028771
7000176,0.101349
7000177,0.00028789099999999997
7000178,0.00026577
7000179,0.00750959
7000180,0.000268309
7000181,0.00027373400000000003
7000182,0.00430133
7000183,0.922161
7000184,0.000488231
7000185,0.000274155
7000186,0.000278532
7000187,0.000275886
7000188,0.000275263
7000189,0.000316018
7000190,0.310245
7000191,0.00768688
7000192,0.000548487
7000193,0.00027069700000000003
7000194,0.16836900000000002
7000195,0.00784425
7000196,0.0188709
7000197,0.01565
7000198,0.000317336
7000199,0.000290165
7000200,0.0029092
7000201,0.00360684
7000202,0.000290221
7000203,0.00243111
7000204,0.00164919
7000205,0.0009446060000000001
7000206,0.000739929
7000207,0.000270233
7000208,0.0166608
7000209,0.22058899999999998
